26,38
15,33
24,28
32,30
36,35
37,39
26,24
40,31
28,19
34,26
28,34
28,15
27,9
27,5
36,22
34,57
30,160
41,43
35,61
36,18
31,65
32,69
40,71
27,61
6,157
40,66
31,73
39,75
36,14
33,79
23,65
36,10
9,153
35,5
26,57
17,79
31,83
6,89
25,78
15,65
7,163
41,79
10,46
18,58
24,69
19,83
14,89
23,73
31,171
39,83
10,93
9,78
6,85
32,87
23,87
30,53
9,170
12,97
16,69
15,73
18,93
35,124
9,57
40,87
18,162
5,52
31,91
11,101
7,74
9,105
33,46
18,50
13,143
10,61
43,62
8,109
27,119
38,51
40,120
8,69
11,138
20,97
29,95
33,111
19,101
18,54
27,107
17,105
22,202
6,42
18,37
39,91
37,116
16,109
18,113
7,37
